DistrictID,DistrictT,DistrictE,DistrictCode,AmphurCode,DistrictOther
227,นาบ่อค้า,นาบ่อค้า,NULL,NULL,NULL
228,นาบ่อคำ,นาบ่อคำ,NULL,NULL,NULL
229,นาป่า,นาป่า,NULL,NULL,NULL
230,นาฝาย,นาฝาย,NULL,NULL,NULL
231,นาม่วง,นาม่วง,NULL,NULL,NULL
232,นามะตูม,นามะตูม,NULL,NULL,NULL
233,นายม,นายม,NULL,NULL,NULL
234,นาสนุ่น,นาสนุ่น,NULL,NULL,NULL
235,นาหนองทุ่ม,นาหนองทุ่ม,NULL,NULL,NULL
236,นาหว้า,นาหว้า,NULL,NULL,NULL
237,นาอุดม,นาอุดม,NULL,NULL,NULL
238,น้ำโมง,น้ำโมง,NULL,NULL,NULL
239,น้ำไคร้,น้ำไคร้,NULL,NULL,NULL
240,น้ำชุน,น้ำชุน,NULL,NULL,NULL
241,น้ำร้อน,น้ำร้อน,NULL,NULL,NULL
242,น้ำหนาว,น้ำหนาว,NULL,NULL,NULL
243,นิคม,นิคม,NULL,NULL,NULL
244,นิคมน้ำอูน,นิคมน้ำอูน,NULL,NULL,NULL
245,นิคมสงเคราะห์,นิคมสงเคราะห์,NULL,NULL,NULL
246,บ่อทอง,บ่อทอง,NULL,NULL,NULL
247,บ่อภาค,บ่อภาค,NULL,NULL,NULL
248,บ่อวิน,บ่อวิน,NULL,NULL,NULL
249,บะ,บะ,NULL,NULL,NULL
250,บางเพรียง,บางเพรียง,NULL,NULL,NULL
251,บางเสาธง,บางเสาธง,NULL,NULL,NULL
252,บางแก้ว,บางแก้ว,NULL,NULL,NULL
253,บางโฉลง,บางโฉลง,NULL,NULL,NULL
254,บางใหญ่,บางใหญ่,NULL,NULL,NULL
255,บางกระดี่,บางกระดี่,NULL,NULL,NULL
256,บางงาม,บางงาม,NULL,NULL,NULL
257,บางบอน,บางบอน,NULL,NULL,NULL
258,บางปลา,บางปลา,NULL,NULL,NULL
259,บางพระ,บางพระ,NULL,NULL,NULL
260,บางมด,บางมด,NULL,NULL,NULL
261,บางระจัน,บางระจัน,NULL,NULL,NULL
262,บางละมุง,บางละมุง,NULL,NULL,NULL
263,บ้านเเก้ง,บ้านเเก้ง,NULL,NULL,NULL
264,บ้านเเขม,บ้านเเขม,NULL,NULL,NULL
265,บ้านเดื่อ,บ้านเดื่อ,NULL,NULL,NULL
266,บ้านเวียง,บ้านเวียง,NULL,NULL,NULL
267,บ้านเสด็จ,บ้านเสด็จ,NULL,NULL,NULL
268,บ้านเหล่า,บ้านเหล่า,NULL,NULL,NULL
269,บ้านเอื้อง,บ้านเอื้อง,NULL,NULL,NULL
270,บ้านแก่ง,บ้านแก่ง,NULL,NULL,NULL
271,บ้านแร่,บ้านแร่,NULL,NULL,NULL
272,บ้านโคก,บ้านโคก,NULL,NULL,NULL
273,บ้านโคน,บ้านโคน,NULL,NULL,NULL
274,บ้านใหม่,บ้านใหม่,NULL,NULL,NULL
275,บ้านไผ่,บ้านไผ่,NULL,NULL,NULL
276,บ้านกลาง,บ้านกลาง,NULL,NULL,NULL
277,บ้านขาว,บ้านขาว,NULL,NULL,NULL
278,บ้านค่า,บ้านค่า,NULL,NULL,NULL
279,บ้านจีต,บ้านจีต,NULL,NULL,NULL
280,บ้านดง,บ้านดง,NULL,NULL,NULL
281,บ้านดารา,บ้านดารา,NULL,NULL,NULL
282,บ้านต้อง,บ้านต้อง,NULL,NULL,NULL
283,บ้านตึก,บ้านตึก,NULL,NULL,NULL
284,บ้านบัว,บ้านบัว,NULL,NULL,NULL
285,บ้านบาก,บ้านบาก,NULL,NULL,NULL
286,บ้านบึง,บ้านบึง,NULL,NULL,NULL
287,บ้านผือ,บ้านผือ,NULL,NULL,NULL
288,บ้านฝาง,บ้านฝาง,NULL,NULL,NULL
289,บ้านฝือ,บ้านฝือ,NULL,NULL,NULL
290,บ้านพนานถม,บ้านพนานถม,NULL,NULL,NULL
291,บ้านยาง,บ้านยาง,NULL,NULL,NULL
292,บ้านสวน,บ้านสวน,NULL,NULL,NULL
293,บ้านหวาย,บ้านหวาย,NULL,NULL,NULL
294,บึง,บึง,NULL,NULL,NULL
295,บึงวิชัย,บึงวิชัย,NULL,NULL,NULL
296,บุ่งไหม,บุ่งไหม,NULL,NULL,NULL
297,บุสูง,บุสูง,NULL,NULL,NULL
298,ประทัดบุ,ประทัดบุ,NULL,NULL,NULL
299,ประสงค์,ประสงค์,NULL,NULL,NULL
300,ปรังเผล,ปรังเผล,NULL,NULL,NULL
301,ปลวกเเดง,ปลวกเเดง,NULL,NULL,NULL
302,ปลวกแดง,ปลวกแดง,NULL,NULL,NULL
303,ปลาปาก,ปลาปาก,NULL,NULL,NULL
304,ป่าไหน่,ป่าไหน่,NULL,NULL,NULL
305,ปากชม,ปากชม,NULL,NULL,NULL
306,ปากท่อ,ปากท่อ,NULL,NULL,NULL
307,ป่าซาง,ป่าซาง,NULL,NULL,NULL
308,ป่าสัก,ป่าสัก,NULL,NULL,NULL
309,ฝายกวาง,ฝายกวาง,NULL,NULL,NULL
310,พรสำราญ,พรสำราญ,NULL,NULL,NULL
311,พรหมสวัสดิ์,พรหมสวัสดิ์,NULL,NULL,NULL
312,พระเพลิง,พระเพลิง,NULL,NULL,NULL
313,พระกลางทุ่ง,พระกลางทุ่ง,NULL,NULL,NULL
314,พลวงทอง,พลวงทอง,NULL,NULL,NULL
315,พลวงสองนาง,พลวงสองนาง,NULL,NULL,NULL
316,พลูตาหลวง,พลูตาหลวง,NULL,NULL,NULL
317,พอกน้อย,พอกน้อย,NULL,NULL,NULL
318,พะทาย,พะทาย,NULL,NULL,NULL
319,พังเคน,พังเคน,NULL,NULL,NULL
320,พานทอง,พานทอง,NULL,NULL,NULL
321,พิบูล,พิบูล,NULL,NULL,NULL
322,พิมาย,พิมาย,NULL,NULL,NULL
323,พุเตย,พุเตย,NULL,NULL,NULL
324,พุคำจาน,พุคำจาน,NULL,NULL,NULL
325,มะต้อง,มะต้อง,NULL,NULL,NULL
326,มาบไผ่,มาบไผ่,NULL,NULL,NULL
327,มาบยางพร,มาบยางพร,NULL,NULL,NULL
328,ยาง,ยาง,NULL,NULL,NULL
329,ยางขี้นก,ยางขี้นก,NULL,NULL,NULL
330,ยางคำ,ยางคำ,NULL,NULL,NULL
331,ยางม่วง,ยางม่วง,NULL,NULL,NULL
332,ยางหวาย,ยางหวาย,NULL,NULL,NULL
333,ร่อนทอง,ร่อนทอง,NULL,NULL,NULL
334,ระแงง,ระแงง,NULL,NULL,NULL
335,ระแหง,ระแหง,NULL,NULL,NULL
336,ระวิง,ระวิง,NULL,NULL,NULL
337,รังกาใหญ่,รังกาใหญ่,NULL,NULL,NULL
338,รังสิต,รังสิต,NULL,NULL,NULL
339,ริมกก,ริมกก,NULL,NULL,NULL
340,ละลวด,ละลวด,NULL,NULL,NULL
341,ละหาน,ละหาน,NULL,NULL,NULL
342,ลาดตะเคียน,ลาดตะเคียน,NULL,NULL,NULL
343,ลานกระบือ,ลานกระบือ,NULL,NULL,NULL
344,ลานสัก,ลานสัก,NULL,NULL,NULL
345,ลำตาเสา,ลำตาเสา,NULL,NULL,NULL
346,ลำนางรอง,ลำนางรอง,NULL,NULL,NULL
347,วังเพิ่ม,วังเพิ่ม,NULL,NULL,NULL
348,วังแดง,วังแดง,NULL,NULL,NULL
349,วังไทร,วังไทร,NULL,NULL,NULL
350,วังไม้แดง,วังไม้แดง,NULL,NULL,NULL
351,วังกระแจะ,วังกระแจะ,NULL,NULL,NULL
352,วังทอง,วังทอง,NULL,NULL,NULL
353,วังน้ำขาว,วังน้ำขาว,NULL,NULL,NULL
354,วังพิกุล,วังพิกุล,NULL,NULL,NULL
355,วังม่วง,วังม่วง,NULL,NULL,NULL
356,วังยาง,วังยาง,NULL,NULL,NULL
357,วังลึก,วังลึก,NULL,NULL,NULL
358,วังสมบูรณ์,วังสมบูรณ์,NULL,NULL,NULL
359,วังหลวง,วังหลวง,NULL,NULL,NULL
360,วัฒนานคร,วัฒนานคร,NULL,NULL,NULL
361,วิหารเเดง,วิหารเเดง,NULL,NULL,NULL
362,วิหารแดง,วิหารแดง,NULL,NULL,NULL
363,ศรีราชา,ศรีราชา,NULL,NULL,NULL
364,ศรีสว่าง,ศรีสว่าง,NULL,NULL,NULL
365,ศรีสุข,ศรีสุข,NULL,NULL,NULL
366,สบปราบ,สบปราบ,NULL,NULL,NULL
367,สมอโคน,สมอโคน,NULL,NULL,NULL
368,สรอย,สรอย,NULL,NULL,NULL
369,สระใคร,สระใคร,NULL,NULL,NULL
370,สระคู,สระคู,NULL,NULL,NULL
371,สระจรเข้,สระจรเข้,NULL,NULL,NULL
372,สร้างคอม,สร้างคอม,NULL,NULL,NULL
373,สว่าง,สว่าง,NULL,NULL,NULL
374,สองคอน,สองคอน,NULL,NULL,NULL
375,สะกาด,สะกาด,NULL,NULL,NULL
376,สัตหีบ,สัตหีบ,NULL,NULL,NULL
377,สามผง,สามผง,NULL,NULL,NULL
378,สามัคคี,สามัคคี,NULL,NULL,NULL
379,สายไหม,สายไหม,NULL,NULL,NULL
380,สารภี,สารภี,NULL,NULL,NULL
381,สาวะถี,สาวะถี,NULL,NULL,NULL
382,สำโรง,สำโรง,NULL,NULL,NULL
383,สำโรงเหนือ,สำโรงเหนือ,NULL,NULL,NULL
384,สำราญ,สำราญ,NULL,NULL,NULL
385,สุขฤทัย,สุขฤทัย,NULL,NULL,NULL
386,สุมเส้า,สุมเส้า,NULL,NULL,NULL
387,สุรศักดิ์,สุรศักดิ์,NULL,NULL,NULL
388,หญ้าปล้อง,หญ้าปล้อง,NULL,NULL,NULL
389,หนองเเจง,หนองเเจง,NULL,NULL,NULL
390,หนองเเดง,หนองเเดง,NULL,NULL,NULL
391,หนองเเหย่ง,หนองเเหย่ง,NULL,NULL,NULL
392,หนองเต็ง,หนองเต็ง,NULL,NULL,NULL
393,หนองเต่า,หนองเต่า,NULL,NULL,NULL
394,หนองเม็ก,หนองเม็ก,NULL,NULL,NULL
395,หนองเลิง,หนองเลิง,NULL,NULL,NULL
396,หนองเหล็ก,หนองเหล็ก,NULL,NULL,NULL
397,หนองแวง,หนองแวง,NULL,NULL,NULL
398,หนองแสง,หนองแสง,NULL,NULL,NULL
399,หนองโพธิ์,หนองโพธิ์,NULL,NULL,NULL
400,หนองใหญ่,หนองใหญ่,NULL,NULL,NULL
401,หนองไม้เเดง,หนองไม้เเดง,NULL,NULL,NULL
402,หนองไม้แดง,หนองไม้แดง,NULL,NULL,NULL
403,หนองกง,หนองกง,NULL,NULL,NULL
404,หนองกลับ,หนองกลับ,NULL,NULL,NULL
405,หนองกะท้าว,หนองกะท้าว,NULL,NULL,NULL
406,หนองกุงสวรรค์,หนองกุงสวรรค์,NULL,NULL,NULL
407,หนองขา,หนองขา,NULL,NULL,NULL
408,หนองข่า,หนองข่า,NULL,NULL,NULL
409,หนองขาม,หนองขาม,NULL,NULL,NULL
410,หนองคูขาด,หนองคูขาด,NULL,NULL,NULL
411,หนองชาก,หนองชาก,NULL,NULL,NULL
412,หนองตำลึง,หนองตำลึง,NULL,NULL,NULL
413,หนองบ่อ,หนองบ่อ,NULL,NULL,NULL
414,หนองบัว,หนองบัว,NULL,NULL,NULL
415,หนองบัวศาลา,หนองบัวศาลา,NULL,NULL,NULL
416,หนองบัวสิม,หนองบัวสิม,NULL,NULL,NULL
417,หนองปรือ,หนองปรือ,NULL,NULL,NULL
418,หนองปลาไหล,หนองปลาไหล,NULL,NULL,NULL
419,หนองพระ,หนองพระ,NULL,NULL,NULL
420,หนองม่วงไข่,หนองม่วงไข่,NULL,NULL,NULL
421,หนองรี,หนองรี,NULL,NULL,NULL
422,หนองลาด,หนองลาด,NULL,NULL,NULL
423,หนองสระปลา,หนองสระปลา,NULL,NULL,NULL
424,หนองหมากฝ้าย,หนองหมากฝ้าย,NULL,NULL,NULL
425,หนองหมี,หนองหมี,NULL,NULL,NULL
426,หนองหลวง,หนองหลวง,NULL,NULL,NULL
427,หนองหว้า,หนองหว้า,NULL,NULL,NULL
428,หนองหัวช้าง,หนองหัวช้าง,NULL,NULL,NULL
429,หนองอิรุณ,หนองอิรุณ,NULL,NULL,NULL
430,หนองอียอ,หนองอียอ,NULL,NULL,NULL
431,หน้าเมือง,หน้าเมือง,NULL,NULL,NULL
432,หมากเเข้ง,หมากเเข้ง,NULL,NULL,NULL
433,หมากแข้ง,หมากแข้ง,NULL,NULL,NULL
434,หมากหญ้า,หมากหญ้า,NULL,NULL,NULL
435,หลักเขต,หลักเขต,NULL,NULL,NULL
436,หลุบ,หลุบ,NULL,NULL,NULL
437,ห้วยเม็ก,ห้วยเม็ก,NULL,NULL,NULL
438,ห้วยกะปิ,ห้วยกะปิ,NULL,NULL,NULL
439,ห้วยข่า,ห้วยข่า,NULL,NULL,NULL
440,ห้วยคต,ห้วยคต,NULL,NULL,NULL
441,ห้วยยั้ง,ห้วยยั้ง,NULL,NULL,NULL
442,ห้วยสำราญ,ห้วยสำราญ,NULL,NULL,NULL
443,หัวเดียด,หัวเดียด,NULL,NULL,NULL
444,หัวเมือง,หัวเมือง,NULL,NULL,NULL
445,หัวขวาง,หัวขวาง,NULL,NULL,NULL
446,หัวรอ,หัวรอ,NULL,NULL,NULL
447,หาดนางแก้ว,หาดนางแก้ว,NULL,NULL,NULL
448,หายโศก,หายโศก,NULL,NULL,NULL
449,หินตั้ง,หินตั้ง,NULL,NULL,NULL
450,อ่างทอง,อ่างทอง,NULL,NULL,NULL
451,อีสานเขต,อีสานเขต,NULL,NULL,NULL
452,าป่า,าป่า,NULL,NULL,NULL
453,หนองปลาหมอ,หนองปลาหมอ,NULL,NULL,NULL
454,ปลาค้าว,ปลาค้าว,NULL,NULL,NULL
455,คันไร่,คันไร่,NULL,NULL,NULL
456,แข้,แข้,NULL,NULL,NULL
457,อู่ทอง,อู่ทอง,NULL,NULL,NULL
458,นาสี,นาสี,NULL,NULL,NULL
459,โนนก่อ,โนนก่อ,NULL,NULL,NULL
