ZipcodeID,DistrictCode,ZipcodeCode
701,160611,15110
702,160612,15110
703,160613,15180
704,160614,15110
705,160615,15110
706,160616,15110
707,160617,15110
708,160618,15110
709,160619,15110
710,160620,15110
711,160621,15110
712,160622,15110
713,160701,15230
714,160702,15230
715,160703,15230
716,160704,15230
717,160705,15230
718,160706,15230
719,160801,15240
720,160802,15240
721,160803,15240
722,160804,15240
723,160805,15240
724,160901,15250
725,160902,15250
726,160903,15250
727,160904,15250
728,160905,15250
729,161001,15190
730,161002,15190
731,161003,15190
732,161004,15190
733,161005,15190
734,161006,15130
735,161101,15170
736,161102,15170
737,161103,15170
738,161104,15170
739,161105,15170
740,161106,15170
741,170101,16000
742,170102,16000
743,170103,16000
744,170104,16000
745,170105,16000
746,170106,16000
747,170107,16000
748,170108,16000
749,170201,16130
750,170202,16130
751,170203,16130
752,170204,16130
753,170205,16130
754,170206,16130
755,170207,16130
756,170208,16130
757,170301,16150
758,170302,16150
759,170303,16150
760,170304,16150
761,170305,16150
762,170306,16150
763,170401,16120
764,170402,16160
765,170403,16120
766,170404,16120
767,170405,16120
768,170406,16120
769,170407,16120
770,170501,16140
771,170502,16140
772,170503,16140
773,170504,16140
774,170601,16110
775,170602,16110
776,170603,16110
777,170604,16110
778,170605,16110
779,170606,16110
780,170607,16110
781,170608,16110
782,170609,16110
783,170610,16110
784,180101,17000
785,180102,17000
786,180103,17000
787,180104,17000
788,180105,17000
789,180106,17000
790,180107,17000
791,180108,17000
792,180109,17000
793,180201,17110
794,180202,17110
795,180203,17110
796,180204,17110
797,180205,17170
798,180206,17170
799,180207,17170
800,180301,17120
801,180302,17120
802,180303,17120
803,180304,17120
804,180306,17120
805,180307,17120
806,180311,17120
807,180401,17150
808,180402,17150
809,180403,17150
810,180404,17150
811,180405,17150
812,180406,17150
813,180407,17150
814,180501,17140
815,180502,17140
816,180503,17140
817,180504,17140
818,180505,17140
819,180506,17140
820,180507,17140
821,180508,17140
822,180601,17130
823,180602,17130
824,180605,17130
825,180606,17160
826,180607,17160
827,180608,17130
828,180609,17130
829,180611,17160
830,180701,17120
831,180702,17120
832,180703,17120
833,180704,17120
834,180801,17130
835,180802,17130
836,180803,17130
837,190101,18000
838,190105,18000
839,190106,18000
840,190107,18000
841,190108,18000
842,190109,18000
843,190110,18000
844,190111,18000
845,190112,18000
846,190113,18000
847,190114,18000
848,190201,18110
849,190202,18260
850,190203,18110
851,190204,18110
852,190205,18110
853,190206,18110
854,190207,18110
855,190208,18110
856,190209,18110
857,190210,18110
858,190211,18110
859,190212,18110
860,190213,18110
861,190215,18110
862,190301,18140
863,190302,18140
864,190303,18250
865,190304,18250
866,190305,18230
867,190306,18230
868,190307,18140
869,190308,18250
870,190309,18230
871,190310,18230
872,190311,18140
873,190312,18140
874,190313,18230
875,190314,18140
876,190315,18230
877,190316,18140
878,190317,18140
879,190318,18140
880,190401,18150
881,190402,18150
882,190403,18150
883,190404,18150
884,190405,18150
885,190406,18150
886,190501,18170
887,190502,18170
888,190503,18170
889,190504,18170
890,190505,18170
891,190506,18170
892,190507,18170
893,190508,18170
894,190509,18170
895,190601,18130
896,190602,18130
897,190603,18130
898,190604,18130
899,190605,18130
900,190606,18130
901,190607,18130
902,190608,18270
903,190609,18130
904,190701,18210
905,190702,18210
906,190703,18210
907,190704,18210
908,190801,18190
909,190802,18190
910,190803,18190
911,190804,18190
912,190901,18120
913,190902,18120
914,190903,18120
915,190904,18120
916,190905,18120
917,190906,18120
918,190907,18120
919,190908,18120
920,190909,18120
921,191001,18160
922,191002,18160
923,191003,18160
924,191004,18160
925,191005,18160
926,191006,18160
927,191007,18160
928,191008,18160
929,191009,18160
